162.159.132.93:2053 ping=147ms
104.16.19.163:2083 ping=150ms
104.25.60.33:2096 ping=156ms
198.41.201.43:2087 ping=157ms
104.16.52.110:2083 ping=157ms
104.24.133.162:2096 ping=157ms
141.101.123.232:8443 ping=158ms
104.18.121.153:8443 ping=158ms
104.18.136.145:8443 ping=158ms
104.27.39.137:2087 ping=158ms
104.27.192.178:2087 ping=158ms
172.65.177.77:2087 ping=158ms
172.65.125.237:2087 ping=158ms
173.245.58.147:2096 ping=159ms
173.245.59.177:8443 ping=159ms
141.101.123.232:2087 ping=159ms
141.101.115.5:2087 ping=159ms
141.101.115.35:8443 ping=159ms
190.93.247.33:2083 ping=159ms
198.41.216.56:2083 ping=159ms
162.159.6.60:2087 ping=159ms
162.159.16.99:2087 ping=159ms
162.159.143.90:2096 ping=159ms
104.16.10.104:2053 ping=159ms
104.16.10.104:8443 ping=159ms
104.17.248.125:2087 ping=159ms
104.19.86.144:8443 ping=159ms
104.19.93.226:2087 ping=159ms
104.24.16.18:8443 ping=159ms
104.24.254.196:2053 ping=159ms
172.67.98.22:2096 ping=159ms
173.245.58.239:2087 ping=160ms
108.162.193.255:2087 ping=160ms
198.41.223.115:2087 ping=160ms
162.159.12.1:2053 ping=160ms
104.17.200.89:2083 ping=160ms
104.16.20.189:2053 ping=160ms
104.17.7.152:2083 ping=160ms
104.27.61.72:2053 ping=160ms
104.27.65.65:2087 ping=160ms
104.27.192.178:2096 ping=160ms
104.27.98.200:2053 ping=160ms
172.65.214.173:2053 ping=160ms
104.19.93.226:8443 ping=161ms
104.18.69.34:2096 ping=161ms
104.24.254.196:2087 ping=161ms
162.159.12.1:2096 ping=162ms
104.16.73.230:2087 ping=163ms
104.24.16.18:2096 ping=164ms
104.19.86.144:2087 ping=165ms
104.16.73.230:2053 ping=165ms
104.24.11.154:2053 ping=165ms
104.27.61.72:2096 ping=165ms
188.114.98.57:2083 ping=166ms
104.27.65.65:2083 ping=166ms
172.67.98.22:2087 ping=166ms
104.17.15.133:2053 ping=167ms
104.17.193.116:8443 ping=167ms
104.27.78.66:2096 ping=167ms
172.67.65.119:443 ping=167ms
172.65.125.237:8443 ping=167ms
173.245.58.94:2096 ping=168ms
173.245.58.239:8443 ping=168ms
108.162.196.210:2053 ping=168ms
190.93.246.86:2096 ping=168ms
188.114.97.37:8443 ping=168ms
198.41.196.164:2083 ping=168ms
162.159.14.124:2087 ping=168ms
162.159.196.15:2053 ping=168ms
162.159.12.1:2083 ping=168ms
162.159.16.99:2083 ping=168ms
162.159.159.122:2083 ping=168ms
104.17.200.89:2087 ping=168ms
104.17.200.89:2096 ping=168ms
104.18.247.168:2083 ping=168ms
104.18.247.168:8443 ping=168ms
104.19.80.137:8443 ping=168ms
104.16.20.189:2096 ping=168ms
104.17.70.56:8443 ping=168ms
104.16.19.163:2087 ping=168ms
104.25.67.66:2096 ping=168ms
104.27.61.72:2083 ping=168ms
104.27.91.152:2053 ping=168ms
104.27.91.152:2096 ping=168ms
104.27.94.13:2096 ping=168ms
104.25.230.171:2083 ping=168ms
104.25.14.212:2087 ping=168ms
104.24.133.162:2087 ping=168ms
104.26.0.140:2096 ping=168ms
104.27.192.178:2083 ping=168ms
104.27.98.200:2096 ping=168ms
172.67.98.22:8443 ping=168ms
172.65.251.238:8443 ping=168ms
172.64.230.57:2096 ping=168ms
172.65.215.186:8443 ping=168ms
172.65.214.173:2087 ping=168ms
173.245.58.160:2053 ping=169ms
173.245.49.232:2087 ping=169ms
173.245.49.232:2096 ping=169ms
173.245.49.232:8443 ping=169ms
173.245.49.250:2087 ping=169ms
173.245.58.114:2083 ping=169ms
173.245.58.239:2096 ping=169ms
173.245.59.63:2053 ping=169ms
173.245.58.166:2083 ping=169ms
173.245.58.166:2087 ping=169ms
141.101.123.232:2053 ping=169ms
108.162.196.210:2087 ping=169ms
108.162.192.16:2096 ping=169ms
108.162.192.16:8443 ping=169ms
108.162.193.176:2087 ping=169ms
108.162.192.112:2053 ping=169ms
190.93.244.219:2053 ping=169ms
190.93.244.219:2083 ping=169ms
190.93.244.219:2087 ping=169ms
190.93.244.219:2096 ping=169ms
190.93.244.190:2053 ping=169ms
190.93.244.190:2096 ping=169ms
190.93.246.79:2096 ping=169ms
190.93.246.79:8443 ping=169ms
190.93.244.76:2096 ping=169ms
190.93.244.105:2053 ping=169ms
190.93.244.105:2087 ping=169ms
190.93.246.86:2053 ping=169ms
190.93.246.86:8443 ping=169ms
188.114.98.164:2096 ping=169ms
198.41.217.86:2053 ping=169ms
198.41.217.86:2083 ping=169ms
198.41.217.86:2087 ping=169ms
198.41.217.86:2096 ping=169ms
198.41.201.43:2053 ping=169ms
198.41.196.164:2096 ping=169ms
198.41.201.23:2096 ping=169ms
198.41.216.56:2053 ping=169ms
198.41.216.56:8443 ping=169ms
198.41.223.115:2096 ping=169ms
162.159.14.124:2053 ping=169ms
162.159.14.124:2096 ping=169ms
162.159.130.179:2096 ping=169ms
162.159.196.15:8443 ping=169ms
162.159.12.1:2087 ping=169ms
162.159.58.198:2087 ping=169ms
162.159.155.40:2083 ping=169ms
162.159.155.40:2096 ping=169ms
162.159.16.99:2053 ping=169ms
162.159.143.90:2083 ping=169ms
104.16.52.110:8443 ping=169ms
104.19.130.97:8443 ping=169ms
104.18.121.153:2096 ping=169ms
104.19.59.117:2053 ping=169ms
104.19.59.117:2096 ping=169ms
104.19.80.137:2083 ping=169ms
104.18.136.145:2096 ping=169ms
104.17.70.56:2096 ping=169ms
104.16.144.132:2053 ping=169ms
104.16.144.132:2083 ping=169ms
104.17.7.152:2096 ping=169ms
104.21.110.178:2087 ping=169ms
104.27.78.66:2083 ping=169ms
104.24.11.154:2083 ping=169ms
104.24.11.154:2096 ping=169ms
104.24.11.154:8443 ping=169ms
104.25.174.120:2083 ping=169ms
104.25.174.120:8443 ping=169ms
104.27.86.123:2083 ping=169ms
104.27.86.123:2087 ping=169ms
104.27.86.123:2096 ping=169ms
104.24.221.184:2087 ping=169ms
104.25.212.117:8443 ping=169ms
104.25.60.33:2083 ping=169ms
104.27.64.34:2053 ping=169ms
104.27.65.65:2096 ping=169ms
104.26.0.140:2087 ping=169ms
104.26.0.140:8443 ping=169ms
104.27.122.94:2083 ping=169ms
104.27.122.94:2087 ping=169ms
104.27.122.94:2096 ping=169ms
104.27.98.200:8443 ping=169ms
172.65.12.182:2087 ping=169ms
172.65.12.182:8443 ping=169ms
172.67.105.44:2053 ping=169ms
172.67.105.44:2096 ping=169ms
172.67.98.22:2053 ping=169ms
172.67.65.119:2096 ping=169ms
172.65.177.77:2096 ping=169ms
172.64.144.130:2083 ping=169ms
172.67.203.231:2087 ping=169ms
172.65.125.237:2053 ping=169ms
173.245.58.160:2087 ping=170ms
173.245.58.160:2096 ping=170ms
173.245.49.250:2083 ping=170ms
173.245.58.239:2053 ping=170ms
173.245.58.147:2083 ping=170ms
173.245.59.63:8443 ping=170ms
173.245.59.177:2087 ping=170ms
141.101.115.5:2096 ping=170ms
141.101.123.136:2053 ping=170ms
141.101.115.35:2083 ping=170ms
108.162.192.16:2053 ping=170ms
190.93.247.33:2053 ping=170ms
190.93.244.190:8443 ping=170ms
190.93.246.86:2087 ping=170ms
188.114.97.80:2083 ping=170ms
198.41.223.115:2053 ping=170ms
